date,description,amount
01/21/2025,APPLE STORAGE,-0.43
02/05/2025,MARSHALLS,-23.56
03/14/2025,DIRECT DEPOSIT,2374.55
04/17/2025,DOLLAR TREE,-51.31
05/21/2025,CHEVRON,-56.67
06/19/2025,STARBUCKS COFFEE,-190.18
07/06/2025,APPLE.COM,-70.91
08/07/2025,APPLE.COM,-27.35
09/13/2025,APPLE STORAGE,-0.70
10/26/2025,ZELLE PAYMENT,3644.91
11/13/2025,ZELLE PAYMENT,4817.62
12/20/2025,PARKING METER,-145.18
01/23/2025,PAYPAL TRANSFER,2411.59
02/10/2025,MCDONALDS,-216.89
03/13/2025,PARKING METER,-42.34
04/12/2025,ELECTRIC COMPANY,-176.05
05/22/2025,SAFEWAY,-159.47
06/18/2025,CVS PHARMACY,-116.64
07/09/2025,DOLLAR TREE,-56.46
08/11/2025,WHOLE FOODS MARKET,-58.80
09/02/2025,PET SMART,-68.40
10/07/2025,ALDI,-219.34
11/11/2025,BEST BUY,-100.12
12/21/2025,COMCAST CABLE,-36.63
01/24/2025,COMCAST CABLE,-187.26
02/14/2025,PET SMART,-91.78
03/05/2025,SPOTIFY PREMIUM,-189.43
04/28/2025,VENDING MACHINE,-0.84
05/14/2025,DRY CLEANERS,-96.64
06/15/2025,DOLLAR TREE,-215.47
07/01/2025,WALGREENS,-171.06
08/18/2025,APPLE.COM,-29.66
09/14/2025,STARBUCKS COFFEE,-238.55
10/24/2025,NORDSTROM,-190.97
11/17/2025,GAS COMPANY,-210.73
12/17/2025,UBER EATS,-94.73
01/06/2025,TJMAXX,-229.79
02/20/2025,AMAZON PURCHASE,-29.74
03/12/2025,GAS COMPANY,-61.38
04/08/2025,SPOTIFY PREMIUM,-23.24
05/16/2025,MARSHALLS,-191.93
06/05/2025,DOLLAR TREE,-42.95
07/17/2025,PANERA BREAD,-241.16
08/18/2025,COSTCO WHOLESALE,-178.81
09/13/2025,PARKING METER,-110.65
10/17/2025,ATT WIRELESS,-57.72
11/11/2025,PAYPAL TRANSFER,2420.46
12/08/2025,PAYPAL TRANSFER,4024.41
01/08/2025,DIRECT DEPOSIT,4938.54
02/03/2025,ELECTRIC COMPANY,-167.91
03/07/2025,ALDI,-144.90
04/08/2025,CHEVRON,-49.22
05/04/2025,GOOGLE STORAGE,-107.05
06/15/2025,WHOLE FOODS MARKET,-168.99
07/21/2025,GOOGLE STORAGE,-0.79
08/26/2025,ATT WIRELESS,-49.51
09/18/2025,PANERA BREAD,-47.51
10/15/2025,NETFLIX,-111.90
11/28/2025,TARGET,-14.55
12/18/2025,SPOTIFY PREMIUM,-231.74
01/28/2025,CHEVRON,-122.44
02/07/2025,WHOLE FOODS MARKET,-42.83
03/01/2025,COMCAST CABLE,-231.78
04/26/2025,PANERA BREAD,-174.75
05/24/2025,DOLLAR TREE,-166.14
06/16/2025,WATER UTILITY,-55.99
07/02/2025,MARSHALLS,-17.12
08/11/2025,PAYPAL TRANSFER,3407.15
09/28/2025,WHOLE FOODS MARKET,-240.27
10/03/2025,NETFLIX,-149.57
11/22/2025,PET SMART,-31.73
12/19/2025,SAFEWAY,-11.86
01/03/2025,KROGER,-142.18
02/11/2025,TRADER JOES,-168.09
03/11/2025,PET SMART,-34.46
04/21/2025,VENMO TRANSFER,-232.40
05/03/2025,PAYPAL TRANSFER,5493.82
06/04/2025,DIRECT DEPOSIT,3523.54
07/05/2025,NETFLIX,-220.06
08/12/2025,DUNKIN DONUTS,-208.77
09/23/2025,TJMAXX,-3.94
10/27/2025,TARGET,-234.85
11/05/2025,TARGET,-186.12
12/05/2025,SAFEWAY,-54.24
01/11/2025,COMCAST CABLE,-127.34
02/09/2025,WHOLE FOODS MARKET,-24.89
03/14/2025,SHELL GAS STATION,-2.88
04/25/2025,COMCAST CABLE,-42.07
05/15/2025,PANERA BREAD,-141.10
06/04/2025,PAYPAL TRANSFER,5115.71
07/18/2025,ZELLE PAYMENT,3830.04
08/05/2025,SHELL GAS STATION,-78.45
09/26/2025,SHELL GAS STATION,-224.93
10/07/2025,TARGET,-89.71
11/18/2025,CHEVRON,-243.51
12/24/2025,ATT WIRELESS,-216.42
01/26/2025,CHEVRON,-8.15
02/24/2025,CHEVRON,-200.95
03/28/2025,ATT WIRELESS,-68.17
04/26/2025,DRY CLEANERS,-218.30
05/28/2025,COSTCO WHOLESALE,-204.51
06/15/2025,MCDONALDS,-57.29
07/22/2025,APPLE.COM,-71.09
08/03/2025,ELECTRIC COMPANY,-89.08
09/17/2025,MARSHALLS,-84.13
10/01/2025,APPLE STORAGE,-0.38
11/09/2025,PAYPAL TRANSFER,3238.26
12/24/2025,PANERA BREAD,-152.34
01/17/2025,ICLOUD STORAGE,-0.39
02/02/2025,STARBUCKS COFFEE,-130.94
03/26/2025,COSTCO WHOLESALE,-92.33
04/03/2025,APPLE.COM,-156.54
05/22/2025,GAS COMPANY,-127.77
06/22/2025,PET SMART,-174.91
07/18/2025,CHEVRON,-166.90
08/13/2025,HOME DEPOT,-154.65
09/10/2025,STARBUCKS COFFEE,-77.36
10/07/2025,KROGER,-152.45
11/11/2025,DUNKIN DONUTS,-169.56
12/17/2025,CVS PHARMACY,-165.39
01/10/2025,PUBLIX,-85.13
02/27/2025,ATT WIRELESS,-168.85
03/08/2025,UBER EATS,-8.06
04/08/2025,PUBLIX,-212.73
05/03/2025,ALDI,-50.22
06/23/2025,PET SMART,-62.51
07/21/2025,TARGET,-195.05
08/08/2025,TJMAXX,-117.21
09/18/2025,WALGREENS,-115.20
