date,description,amount,balance
01/21/2025,"CVS HEALTH, CORP.",-52.75,9947.25
01/05/2025,TRADER JOES,-111.62,9835.63
01/18/2025,"WELLS FARGO, N.A.",-11.2,9824.43
01/03/2025,"JOHNSON & JOHNSON, INC.",-122.39,9702.04
01/18/2025,"PROCTER & GAMBLE, CO.",-86.81,9615.23
01/15/2025,PARKING METER,-130.66,9484.57
01/25/2025,COSTCO,-64.55,9420.02
01/09/2025,"COSTCO WHOLESALE, LTD.",-24.93,9395.09
01/13/2025,"CHEVRON, USA",-122.73,9272.36
01/26/2025,VENMO CREDIT,3108.68,12381.04
01/13/2025,"KROGER CO., CINCINNATI",-166.73,12214.31
01/20/2025,DUNKIN DONUTS,-87.45,12126.86
01/23/2025,ZELLE PAYMENT,3819.21,15946.07
01/03/2025,TMOBILE,-16.95,15929.12
01/09/2025,ATT WIRELESS,-56.0,15873.12
01/12/2025,TRADER JOES,-41.51,15831.61
01/22/2025,SAFEWAY,-95.98,15735.63
02/18/2025,CVS PHARMACY,-70.41,15665.22
02/09/2025,PUBLIX,-103.85,15561.37
02/08/2025,ATT WIRELESS,-115.71,15445.66
02/02/2025,"WALMART STORES, INC.",-161.98,15283.68
02/13/2025,"STARBUCKS CORP., SEATTLE",-183.06,15100.62
02/19/2025,PANERA BREAD,-33.47,15067.15
02/16/2025,WATER UTILITY,-97.14,14970.01
02/05/2025,"HOME DEPOT, INC.",-150.27,14819.74
02/18/2025,"UNITED AIRLINES, INC.",-88.54,14731.20
02/19/2025,MCDONALDS,-149.6,14581.60
02/05/2025,SPOTIFY,-113.86,14467.74
02/28/2025,"TARGET CORP., MPLS",-159.46,14308.28
02/14/2025,DOMINOS PIZZA,-58.48,14249.80
02/15/2025,ALDI,-129.4,14120.40
02/01/2025,TARGET,-102.89,14017.51
02/18/2025,DOORDASH,-96.86,13920.65
02/04/2025,CVS PHARMACY,-69.15,13851.50
03/24/2025,CHEVRON,-145.84,13705.66
03/25/2025,"GOOGLE, LLC",-174.75,13530.91
03/10/2025,DOLLAR TREE,-92.13,13438.78
03/05/2025,CVS PHARMACY,-81.83,13356.95
03/25/2025,WATER UTILITY,-2.08,13354.87
03/11/2025,TARGET,-139.51,13215.36
03/27/2025,MCDONALDS,-10.57,13204.79
03/19/2025,SPOTIFY,-110.32,13094.47
03/27/2025,ZELLE PAYMENT,1885.17,14979.64
03/16/2025,CVS PHARMACY,-41.23,14938.41
03/28/2025,GAS COMPANY,-33.35,14905.06
03/18/2025,COSTCO,-31.77,14873.29
03/10/2025,TRADER JOES,-98.18,14775.11
03/15/2025,TJMAXX,-19.91,14755.20
03/08/2025,DIRECT DEPOSIT,3264.93,18020.13
03/08/2025,STARBUCKS,-12.51,18007.62
03/21/2025,DIRECT DEPOSIT,4216.26,22223.88
04/28/2025,DOLLAR TREE,-37.22,22186.66
04/22/2025,ALDI,-21.58,22165.08
04/19/2025,MCDONALDS,-118.12,22046.96
04/26/2025,TARGET,-16.35,22030.61
04/14/2025,BURGER KING,-71.12,21959.49
04/24/2025,DIRECT DEPOSIT,1681.84,23641.33
04/24/2025,TMOBILE,-18.17,23623.16
04/07/2025,"CHASE BANK, N.A.",-32.34,23590.82
04/06/2025,MCDONALDS,-131.42,23459.40
04/03/2025,TMOBILE,-128.68,23330.72
04/04/2025,DIRECT DEPOSIT,4406.99,27737.71
04/25/2025,CVS PHARMACY,-62.15,27675.56
04/16/2025,"COMCAST CABLE, LLC",-180.98,27494.58
04/06/2025,DOMINOS PIZZA,-41.25,27453.33
04/26/2025,SHELL,-64.61,27388.72
04/24/2025,ALDI,-99.96,27288.76
04/16/2025,"KROGER CO., CINCINNATI",-47.45,27241.31
05/02/2025,ALDI,-11.02,27230.29
05/11/2025,VENMO CREDIT,3008.55,30238.84
05/28/2025,NETFLIX,-144.2,30094.64
05/03/2025,SPOTIFY,-90.07,30004.57
05/22/2025,DOMINOS PIZZA,-19.74,29984.83
05/19/2025,"DELTA AIR LINES, INC.",-12.75,29972.08
05/03/2025,KROGER,-85.65,29886.43
05/11/2025,HOME DEPOT,-101.12,29785.31
05/11/2025,"COMCAST CABLE, LLC",-30.52,29754.79
05/21/2025,PANERA BREAD,-139.49,29615.30
05/03/2025,DIRECT DEPOSIT,1719.78,31335.08
05/07/2025,WALGREENS,-140.12,31194.96
05/03/2025,DUNKIN DONUTS,-44.18,31150.78
05/15/2025,COSTCO,-46.77,31104.01
05/26/2025,STARBUCKS,-100.84,31003.17
05/18/2025,TRADER JOES,-17.33,30985.84
05/05/2025,"GOOGLE, LLC",-149.77,30836.07
06/05/2025,SAFEWAY,-33.17,30802.90
06/11/2025,"CVS HEALTH, CORP.",-103.55,30699.35
06/09/2025,TMOBILE,-9.52,30689.83
06/21/2025,CHEVRON,-8.52,30681.31
06/11/2025,PUBLIX,-147.01,30534.30
06/06/2025,ALDI,-106.44,30427.86
06/18/2025,DIRECT DEPOSIT,4335.15,34763.01
06/23/2025,ALDI,-7.33,34755.68
06/12/2025,WALGREENS,-65.61,34690.07
06/02/2025,ELECTRIC COMPANY,-140.1,34549.97
06/28/2025,PAYPAL TRANSFER,2130.23,36680.20
06/08/2025,DUNKIN DONUTS,-117.46,36562.74
06/28/2025,SAFEWAY,-112.92,36449.82
06/08/2025,PARKING METER,-121.99,36327.83
06/14/2025,PAYPAL TRANSFER,3847.16,40174.99
06/14/2025,TMOBILE,-110.79,40064.20
06/08/2025,"GOOGLE, LLC",-79.6,39984.60
07/02/2025,MCDONALDS,-31.54,39953.06
07/15/2025,ATT WIRELESS,-119.71,39833.35
07/08/2025,"STARBUCKS CORP., SEATTLE",-82.7,39750.65
07/09/2025,GAS COMPANY,-116.45,39634.20
07/12/2025,DOMINOS PIZZA,-102.57,39531.63
07/27/2025,GAS COMPANY,-6.08,39525.55
07/09/2025,"CVS HEALTH, CORP.",-12.46,39513.09
07/20/2025,UBER EATS,-118.39,39394.70
07/14/2025,DOLLAR TREE,-19.12,39375.58
07/19/2025,"WALMART STORES, INC.",-143.21,39232.37
07/01/2025,PARKING METER,-81.69,39150.68
07/24/2025,UBER EATS,-101.25,39049.43
07/12/2025,GAS COMPANY,-100.31,38949.12
07/11/2025,TRADER JOES,-127.51,38821.61
07/24/2025,DOLLAR TREE,-47.77,38773.84
07/14/2025,COSTCO,-45.76,38728.08
07/05/2025,"COMCAST CABLE, LLC",-137.08,38591.00
08/06/2025,SHELL,-62.1,38528.90
08/27/2025,PAYPAL TRANSFER,2130.55,40659.45
08/26/2025,PUBLIX,-49.69,40609.76
08/15/2025,HOME DEPOT,-77.65,40532.11
08/26/2025,PARKING METER,-110.92,40421.19
08/22/2025,"JOHNSON & JOHNSON, INC.",-134.45,40286.74
08/20/2025,ATT WIRELESS,-142.9,40143.84
08/08/2025,MCDONALDS,-121.37,40022.47
08/05/2025,ZELLE PAYMENT,4451.81,44474.28
08/20/2025,SPOTIFY,-69.4,44404.88
08/21/2025,COSTCO,-105.06,44299.82
08/16/2025,WALGREENS,-99.1,44200.72
08/01/2025,TMOBILE,-115.97,44084.75
08/04/2025,MCDONALDS,-28.03,44056.72
08/23/2025,NETFLIX,-84.5,43972.22
08/28/2025,"BEST BUY CO., INC.",-161.28,43810.94
08/22/2025,ALDI,-90.13,43720.81
09/25/2025,SAFEWAY,-122.62,43598.19
09/17/2025,WATER UTILITY,-83.09,43515.10
09/06/2025,MARSHALLS,-68.61,43446.49
09/25/2025,"CVS HEALTH, CORP.",-154.33,43292.16
09/17/2025,MCDONALDS,-42.64,43249.52
09/03/2025,MCDONALDS,-42.21,43207.31
09/11/2025,SPOTIFY,-22.48,43184.83
09/08/2025,WALGREENS,-106.55,43078.28
09/03/2025,PANERA BREAD,-82.31,42995.97
09/14/2025,VENMO CREDIT,2668.43,45664.40
09/25/2025,COSTCO,-4.89,45659.51
09/25/2025,MARSHALLS,-2.87,45656.64
09/12/2025,DOMINOS PIZZA,-128.31,45528.33
09/27/2025,UBER EATS,-110.73,45417.60
09/26/2025,MCDONALDS,-74.26,45343.34
09/09/2025,STARBUCKS,-59.55,45283.79
09/22/2025,DOMINOS PIZZA,-109.18,45174.61
10/27/2025,WALGREENS,-147.15,45027.46
10/18/2025,VENMO CREDIT,3275.68,48303.14
10/22/2025,VENMO CREDIT,1907.1,50210.24
10/15/2025,"CVS HEALTH, CORP.",-78.93,50131.31
10/07/2025,PANERA BREAD,-114.66,50016.65
10/13/2025,GAS COMPANY,-125.12,49891.53
10/09/2025,MARSHALLS,-4.87,49886.66
10/18/2025,PAYPAL TRANSFER,2172.67,52059.33
10/03/2025,PUBLIX,-7.96,52051.37
10/01/2025,HOME DEPOT,-126.21,51925.16
10/20/2025,"BEST BUY CO., INC.",-97.34,51827.82
10/04/2025,HOME DEPOT,-70.83,51756.99
10/09/2025,CVS PHARMACY,-91.67,51665.32
10/24/2025,DOORDASH,-123.26,51542.06
10/10/2025,"AMAZON.COM, INC.",-186.13,51355.93
10/19/2025,GAS COMPANY,-57.55,51298.38
10/23/2025,"UNITED AIRLINES, INC.",-139.67,51158.71
11/21/2025,"KROGER CO., CINCINNATI",-170.81,50987.90
11/20/2025,PARKING METER,-147.61,50840.29
11/26/2025,VENMO CREDIT,3484.56,54324.85
11/03/2025,PANERA BREAD,-3.87,54320.98
11/14/2025,TARGET,-66.16,54254.82
11/12/2025,ATT WIRELESS,-70.04,54184.78
11/05/2025,UBER EATS,-79.22,54105.56
11/21/2025,PARKING METER,-138.1,53967.46
11/25/2025,BURGER KING,-124.21,53843.25
11/19/2025,"HOME DEPOT, INC.",-166.99,53676.26
11/03/2025,TJMAXX,-38.09,53638.17
11/15/2025,TRADER JOES,-58.09,53580.08
11/01/2025,PANERA BREAD,-28.91,53551.17
11/07/2025,CHEVRON,-52.37,53498.80
11/20/2025,CHEVRON,-84.26,53414.54
11/17/2025,SPOTIFY,-37.72,53376.82
11/14/2025,DOORDASH,-37.57,53339.25
12/16/2025,MARSHALLS,-68.33,53270.92
12/01/2025,"HOME DEPOT, INC.",-83.86,53187.06
12/08/2025,KROGER,-56.62,53130.44
12/18/2025,BURGER KING,-149.5,52980.94
12/18/2025,COSTCO,-69.15,52911.79
12/10/2025,"GOOGLE, LLC",-145.65,52766.14
12/11/2025,"PROCTER & GAMBLE, CO.",-190.42,52575.72
12/23/2025,"STARBUCKS CORP., SEATTLE",-149.03,52426.69
12/09/2025,DOORDASH,-79.65,52347.04
12/10/2025,ATT WIRELESS,-30.73,52316.31
12/08/2025,SHELL,-4.09,52312.22
12/18/2025,"WALMART STORES, INC.",-194.99,52117.23
12/18/2025,GAS COMPANY,-20.69,52096.54
