date,description,amount,category
01/21/2025,PARKING METER,-6.35,
01/08/2025,NETFLIX,-15.99,
01/18/2025,ATT WIRELESS,-85.00,
01/03/2025,WATER UTILITY,-49.95,
01/18/2025,CHEVRON,-43.96,
01/14/2025,AMAZON PURCHASE,-111.05,
01/28/2025,DIRECT DEPOSIT,3618.88,
01/11/2025,CHIPOTLE,-8.34,
01/11/2025,MCDONALDS,-11.32,
01/28/2025,CVS PHARMACY,-11.75,
01/24/2025,NETFLIX,-15.99,
01/13/2025,ZELLE PAYMENT,257.35,
01/20/2025,TRADER JOES,-45.36,
01/23/2025,DIRECT DEPOSIT,3663.84,
01/03/2025,NETFLIX,-15.99,
01/15/2025,TRADER JOES,-70.24,
01/12/2025,CVS PHARMACY,-15.44,
01/22/2025,PANERA BREAD,-10.92,
01/18/2025,TARGET,-71.46,
01/09/2025,CHEVRON,-44.36,
01/08/2025,DRY CLEANERS,-16.03,
01/08/2025,COSTCO,-169.77,
01/03/2025,AMAZON PURCHASE,-27.31,
01/11/2025,ELECTRIC COMPANY,-140.44,
01/21/2025,CVS PHARMACY,-35.11,
01/24/2025,CVS PHARMACY,-13.85,
01/14/2025,MCDONALDS,-9.47,
01/05/2025,SHELL GAS STATION,-43.55,
01/28/2025,CHEVRON,-60.20,
01/22/2025,SHELL GAS STATION,-56.53,
01/20/2025,WATER UTILITY,-58.71,
01/18/2025,STARBUCKS COFFEE,-4.60,
01/04/2025,GAS COMPANY,-44.96,
01/25/2025,NETFLIX,-15.99,
01/06/2025,PARKING METER,-2.74,
01/09/2025,DRY CLEANERS,-26.78,
01/04/2025,HOME DEPOT,-48.50,
01/17/2025,SPOTIFY,-10.99,
01/06/2025,DRY CLEANERS,-13.40,
01/01/2025,ELECTRIC COMPANY,-178.05,
01/12/2025,HOME DEPOT,-156.90,
01/08/2025,SHELL GAS STATION,-67.00,
01/16/2025,DRY CLEANERS,-20.41,
01/05/2025,ELECTRIC COMPANY,-85.32,
01/06/2025,PANERA BREAD,-12.61,
01/07/2025,DRY CLEANERS,-16.86,
01/07/2025,MCDONALDS,-5.03,
01/21/2025,WATER UTILITY,-53.71,
01/08/2025,COSTCO,-245.79,
01/18/2025,UBER EATS,-44.76,
01/23/2025,UBER EATS,-42.78,
01/02/2025,SHELL GAS STATION,-52.00,
01/09/2025,CHIPOTLE,-11.69,
01/24/2025,AMAZON PURCHASE,-69.33,
01/08/2025,ATT WIRELESS,-85.00,
01/04/2025,TRADER JOES,-54.59,
01/15/2025,WHOLE FOODS MARKET,-69.20,
01/21/2025,MCDONALDS,-6.90,
01/26/2025,UBER EATS,-38.68,
01/18/2025,ATT WIRELESS,-85.00,
