date,description,amount,category
03/10/2025,STARBUCKS COFFEE,-6.48,
03/07/2025,AMAZON PURCHASE,-65.07,
03/11/2025,COMCAST CABLE,-116.49,
03/17/2025,PARKING METER,-6.98,
03/03/2025,WALMART,-49.36,
03/11/2025,DRY CLEANERS,-25.77,
03/10/2025,CHIPOTLE,-14.82,
03/02/2025,ELECTRIC COMPANY,-118.87,
03/25/2025,ZELLE PAYMENT,271.53,
03/19/2025,WALGREENS,-20.40,
03/13/2025,CHEVRON,-44.37,
03/25/2025,NETFLIX,-15.99,
03/08/2025,WALGREENS,-17.05,
03/02/2025,NETFLIX,-15.99,
03/26/2025,WATER UTILITY,-40.30,
03/20/2025,DRY CLEANERS,-13.95,
03/20/2025,WATER UTILITY,-54.33,
03/18/2025,TARGET,-41.92,
03/16/2025,DRY CLEANERS,-25.55,
03/21/2025,DRY CLEANERS,-20.62,
03/21/2025,COMCAST CABLE,-128.45,
03/10/2025,COSTCO,-186.06,
03/18/2025,SPOTIFY,-10.99,
03/23/2025,CHIPOTLE,-15.49,
03/14/2025,COMCAST CABLE,-121.68,
03/07/2025,MCDONALDS,-5.67,
03/19/2025,STARBUCKS COFFEE,-3.72,
03/25/2025,ELECTRIC COMPANY,-179.41,
03/12/2025,MCDONALDS,-6.03,
03/27/2025,PARKING METER,-3.59,
03/26/2025,UBER EATS,-28.89,
03/09/2025,STARBUCKS COFFEE,-6.06,
03/22/2025,MCDONALDS,-6.93,
03/27/2025,SPOTIFY,-10.99,
03/18/2025,ZELLE PAYMENT,197.97,
03/22/2025,ZELLE PAYMENT,83.92,
03/15/2025,CVS PHARMACY,-26.73,
03/07/2025,COSTCO,-97.75,
03/13/2025,ATT WIRELESS,-85.00,
03/03/2025,PARKING METER,-4.76,
03/12/2025,SHELL GAS STATION,-42.66,
03/21/2025,DIRECT DEPOSIT,3769.77,
03/07/2025,PANERA BREAD,-14.78,
03/05/2025,NETFLIX,-15.99,
03/07/2025,CVS PHARMACY,-13.16,
03/06/2025,PARKING METER,-3.69,
03/25/2025,HOME DEPOT,-180.54,
03/01/2025,AMAZON PURCHASE,-55.17,
03/13/2025,WALGREENS,-25.04,
03/19/2025,CHEVRON,-57.71,
03/23/2025,WALMART,-51.97,
03/04/2025,AMAZON PURCHASE,-40.43,
03/12/2025,WALMART,-70.35,
03/17/2025,STARBUCKS COFFEE,-3.75,
03/27/2025,ATT WIRELESS,-85.00,
03/21/2025,COMCAST CABLE,-115.85,
03/14/2025,WATER UTILITY,-40.86,
03/09/2025,GAS COMPANY,-44.01,
03/15/2025,PARKING METER,-4.45,
03/11/2025,SHELL GAS STATION,-60.24,
