date,description,amount,balance
08/27/2025,ATT WIRELESS,-85.00,11492.47
08/26/2025,STARBUCKS COFFEE,-4.66,11487.81
08/18/2025,NAMECHEAP DOMAIN,-14.48,11473.33
08/05/2025,GITHUB INC,-8.38,11464.95
08/05/2025,SQUARESPACE WEBSITE,-29.42,11435.53
08/11/2025,NAMECHEAP DOMAIN,-10.74,11424.79
08/17/2025,WHOLE FOODS MARKET,-138.92,11285.87
08/14/2025,WHOLE FOODS MARKET,-149.57,11136.30
08/25/2025,WALGREENS PHARMACY,-51.60,11084.70
08/15/2025,UBER EATS,-26.49,11058.21
08/04/2025,CLIENT PAYMENT - STARTUP INC,3955.16,15013.37
08/27/2025,SALVATION ARMY,-27.04,14986.33
08/05/2025,CONSULTING FEE - BETA LLC,5545.42,20531.75
08/26/2025,WHOLE FOODS MARKET,-42.13,20489.62
08/07/2025,NETFLIX,-15.99,20473.63
08/12/2025,UBER EATS,-12.86,20460.77
08/24/2025,CVS PHARMACY,-19.48,20441.29
08/26/2025,UBER EATS,-44.18,20397.11
08/24/2025,UBER EATS,-18.53,20378.58
08/28/2025,ELECTRIC COMPANY,-153.32,20225.26
08/26/2025,KROGER,-25.87,20199.39
08/28/2025,BEST BUY,-79.52,20119.87
08/15/2025,UNITED WAY,-43.31,20076.56
08/22/2025,WEWORK COWORKING,-344.28,19732.28
08/03/2025,WATER UTILITY,-56.22,19676.06
08/17/2025,BOOK DEPOSITORY,-38.41,19637.65
08/01/2025,WALGREENS PHARMACY,-50.71,19586.94
08/09/2025,CLIENT PAYMENT - DESIGN STUDIO,3055.59,22642.53
08/26/2025,SQUARESPACE WEBSITE,-16.27,22626.26
08/04/2025,BOOK DEPOSITORY,-43.35,22582.91
08/02/2025,STARBUCKS COFFEE,-5.40,22577.51
08/26/2025,CHIPOTLE,-13.09,22564.42
08/03/2025,COMCAST CABLE,-117.54,22446.88
08/22/2025,ATT WIRELESS,-85.00,22361.88
08/22/2025,CONFERENCE REGISTRATION,-381.67,21980.21
08/18/2025,QUEST DIAGNOSTICS,-133.77,21846.44
08/13/2025,TARGET,-55.37,21791.07
08/10/2025,UDEMY ONLINE COURSE,-72.65,21718.42
08/07/2025,HOME DEPOT,-116.30,21602.12
08/15/2025,COSTCO,-155.36,21446.76
08/26/2025,SHELL GAS STATION,-60.07,21386.69
08/22/2025,COMCAST CABLE,-128.13,21258.56
08/25/2025,AWS AMAZON,-64.28,21194.28
08/07/2025,DR SMITH FAMILY MEDICINE,-207.15,20987.13
08/16/2025,SHELL GAS STATION,-54.06,20933.07
08/21/2025,KROGER,-57.98,20875.09
08/08/2025,DENTAL ASSOCIATES,-398.34,20476.75
08/25/2025,NETFLIX,-15.99,20460.76
08/25/2025,BEST BUY,-82.89,20377.87
08/23/2025,WHOLE FOODS MARKET,-83.11,20294.76
08/28/2025,CVS PHARMACY,-23.90,20270.86
08/22/2025,PARKING METER,-4.43,20266.43
08/25/2025,COSTCO,-164.65,20101.78
08/18/2025,BEST BUY,-99.21,20002.57
08/16/2025,BEST BUY,-73.24,19929.33
08/09/2025,COSTCO,-153.08,19776.25
08/08/2025,GITHUB INC,-8.87,19767.38
08/08/2025,WEWORK COWORKING,-221.39,19545.99
08/03/2025,CVS PHARMACY,-53.19,19492.80
08/05/2025,SHELL GAS STATION,-55.48,19437.32
08/11/2025,UBER EATS,-42.95,19394.37
08/27/2025,AMAZON PURCHASE,-41.50,19352.87
08/25/2025,HOME DEPOT,-198.94,19153.93
08/12/2025,STAPLES,-17.33,19136.60
08/27/2025,BOOK DEPOSITORY,-22.00,19114.60
08/08/2025,WATER UTILITY,-54.10,19060.50
08/01/2025,CONFERENCE REGISTRATION,-365.49,18695.01
08/27/2025,BEST BUY,-35.21,18659.80
08/18/2025,CLIENT PAYMENT - DESIGN STUDIO,4163.52,22823.32
08/22/2025,CLIENT PAYMENT - DESIGN STUDIO,2110.65,24933.97
08/15/2025,AWS AMAZON,-53.46,24880.51
08/07/2025,HOME DEPOT,-62.98,24817.53
08/13/2025,STAPLES,-47.39,24770.14
08/03/2025,AMAZON PURCHASE,-15.02,24755.12
08/12/2025,GITHUB INC,-7.72,24747.40
08/21/2025,CLIENT PAYMENT - ACME CORP,5773.25,30520.65
08/07/2025,SPOTIFY,-10.99,30509.66
08/08/2025,DENTAL ASSOCIATES,-365.68,30143.98
08/07/2025,HOME DEPOT,-61.96,30082.02
08/06/2025,NETFLIX,-15.99,30066.03
