date,description,amount,balance
12/26/2025,CHIPOTLE,-13.06,12378.62
12/19/2025,MCDONALDS,-6.61,12372.01
12/25/2025,BOOK DEPOSITORY,-35.35,12336.66
12/06/2025,SPOTIFY,-10.99,12325.67
12/28/2025,NAMECHEAP DOMAIN,-12.60,12313.07
12/12/2025,NETFLIX,-15.99,12297.08
12/23/2025,NETFLIX,-15.99,12281.09
12/10/2025,CLIENT PAYMENT - STARTUP INC,2727.56,15008.65
12/17/2025,QUEST DIAGNOSTICS,-277.07,14731.58
12/08/2025,AMAZON PURCHASE,-19.73,14711.85
12/14/2025,CONSULTING FEE - BETA LLC,2561.00,17272.85
12/03/2025,UDEMY ONLINE COURSE,-71.32,17201.53
12/04/2025,COMCAST CABLE,-114.17,17087.36
12/05/2025,RETAINER - GLOBALTECH,4632.32,21719.68
12/05/2025,HOME DEPOT,-119.25,21600.43
12/01/2025,STARBUCKS COFFEE,-6.72,21593.71
12/27/2025,DENTAL ASSOCIATES,-217.34,21376.37
12/14/2025,WALGREENS PHARMACY,-47.64,21328.73
12/04/2025,CLIENT PAYMENT - DESIGN STUDIO,4375.28,25704.01
12/20/2025,AMAZON PURCHASE,-45.21,25658.80
12/16/2025,STARBUCKS COFFEE,-4.84,25653.96
12/19/2025,ADOBE SYSTEMS,-44.81,25609.15
12/01/2025,ELECTRIC COMPANY,-122.93,25486.22
12/06/2025,SHELL GAS STATION,-51.68,25434.54
12/12/2025,CLIENT PAYMENT - ACME CORP,3257.04,28691.58
12/16/2025,CLIENT PAYMENT - DESIGN STUDIO,5914.68,34606.26
12/09/2025,AMAZON PURCHASE,-39.61,34566.65
12/12/2025,NAMECHEAP DOMAIN,-11.86,34554.79
12/25/2025,COMCAST CABLE,-127.33,34427.46
12/12/2025,TARGET,-32.81,34394.65
12/22/2025,GAS STATION,-44.73,34349.92
12/26/2025,DENTAL ASSOCIATES,-167.14,34182.78
12/15/2025,CLIENT PAYMENT - TECHFIRM,1697.13,35879.91
12/07/2025,COMCAST CABLE,-111.33,35768.58
12/17/2025,BOOK DEPOSITORY,-33.43,35735.15
12/02/2025,CHIPOTLE,-13.71,35721.44
12/28/2025,COMCAST CABLE,-124.54,35596.90
12/26/2025,HABITAT FOR HUMANITY,-44.25,35552.65
12/13/2025,UNITED WAY,-35.11,35517.54
12/16/2025,SALVATION ARMY,-24.67,35492.87
12/03/2025,SHELL GAS STATION,-54.93,35437.94
12/27/2025,AWS AMAZON,-57.52,35380.42
12/03/2025,LOCAL FOOD BANK,-39.27,35341.15
12/20/2025,TARGET,-47.57,35293.58
12/12/2025,HOME DEPOT,-89.33,35204.25
12/14/2025,ZOOM VIDEO COMMUNICATIONS,-19.47,35184.78
12/21/2025,BOOK DEPOSITORY,-21.96,35162.82
12/22/2025,DR SMITH FAMILY MEDICINE,-225.01,34937.81
12/20/2025,MCDONALDS,-11.76,34926.05
12/03/2025,NAMECHEAP DOMAIN,-13.17,34912.88
12/13/2025,WHOLE FOODS MARKET,-77.39,34835.49
12/22/2025,HOME DEPOT,-133.04,34702.45
12/25/2025,CLIENT PAYMENT - STARTUP INC,3882.57,38585.02
12/13/2025,AWS AMAZON,-62.53,38522.49
12/04/2025,CLIENT PAYMENT - STARTUP INC,3745.70,42268.19
12/13/2025,NETFLIX,-15.99,42252.20
12/09/2025,MCDONALDS,-10.50,42241.70
12/20/2025,BEST BUY,-249.96,41991.74
12/05/2025,MCDONALDS,-10.79,41980.95
12/23/2025,AMAZON PURCHASE,-50.06,41930.89
12/28/2025,AMAZON PURCHASE,-50.66,41880.23
12/18/2025,ATT WIRELESS,-85.00,41795.23
12/23/2025,TARGET,-36.66,41758.57
12/17/2025,GOOGLE WORKSPACE,-8.50,41750.07
12/08/2025,STARBUCKS COFFEE,-6.20,41743.87
12/19/2025,SALVATION ARMY,-27.40,41716.47
12/03/2025,CLIENT PAYMENT - DESIGN STUDIO,5998.18,47714.65
12/24/2025,GAS STATION,-39.23,47675.42
12/27/2025,SPOTIFY,-10.99,47664.43
12/11/2025,MCDONALDS,-8.74,47655.69
12/17/2025,SALVATION ARMY,-17.20,47638.49
12/06/2025,SPOTIFY,-10.99,47627.50
12/14/2025,WHOLE FOODS MARKET,-50.23,47577.27
12/17/2025,CVS PHARMACY,-68.66,47508.61
12/23/2025,FEDEX OFFICE,-18.68,47489.93
12/28/2025,CLIENT PAYMENT - TECHFIRM,4357.76,51847.69
12/18/2025,NAMECHEAP DOMAIN,-13.49,51834.20
12/18/2025,CLIENT PAYMENT - STARTUP INC,4163.14,55997.34
12/19/2025,DENTAL ASSOCIATES,-212.66,55784.68
12/20/2025,SALVATION ARMY,-29.18,55755.50
