date,description,amount,balance
07/01/2025,ELECTRIC COMPANY,-157.68,16236.59
07/24/2025,DENTAL ASSOCIATES,-132.35,16104.24
07/03/2025,WHOLE FOODS MARKET,-146.42,15957.82
07/07/2025,SQUARESPACE WEBSITE,-32.55,15925.27
07/07/2025,PARKING METER,-5.48,15919.79
07/15/2025,STARBUCKS COFFEE,-4.21,15915.58
07/06/2025,COMCAST CABLE,-124.44,15791.14
07/07/2025,COMCAST CABLE,-127.96,15663.18
07/13/2025,CONSULTING FEE - BETA LLC,4216.77,19879.95
07/26/2025,RETAINER - GLOBALTECH,3913.03,23792.98
07/13/2025,FREELANCE INVOICE - PROJECT ALPHA,5232.32,29025.30
07/20/2025,AMAZON PURCHASE,-69.17,28956.13
07/23/2025,CLIENT PAYMENT - TECHFIRM,4978.81,33934.94
07/03/2025,NETFLIX,-15.99,33918.95
07/13/2025,NAMECHEAP DOMAIN,-10.83,33908.12
07/06/2025,OREILLY MEDIA,-43.30,33864.82
07/23/2025,SHELL GAS STATION,-48.68,33816.14
07/06/2025,ELECTRIC COMPANY,-163.66,33652.48
07/13/2025,NAMECHEAP DOMAIN,-11.56,33640.92
07/08/2025,WHOLE FOODS MARKET,-122.51,33518.41
07/02/2025,KROGER,-77.24,33441.17
07/07/2025,COMCAST CABLE,-125.75,33315.42
07/16/2025,CONFERENCE REGISTRATION,-714.28,32601.14
07/05/2025,FEDEX OFFICE,-31.14,32570.00
07/24/2025,KROGER,-69.23,32500.77
07/05/2025,SHELL GAS STATION,-43.55,32457.22
07/28/2025,DENTAL ASSOCIATES,-352.01,32105.21
07/22/2025,AMAZON PURCHASE,-128.82,31976.39
07/20/2025,COSTCO,-199.72,31776.67
07/18/2025,STARBUCKS COFFEE,-4.60,31772.07
07/04/2025,PARKING METER,-3.49,31768.58
07/25/2025,NETFLIX,-15.99,31752.59
07/10/2025,GAS STATION,-69.87,31682.72
07/24/2025,WATER UTILITY,-40.70,31642.02
07/25/2025,DR SMITH FAMILY MEDICINE,-97.66,31544.36
07/10/2025,COSTCO,-128.21,31416.15
07/05/2025,OREILLY MEDIA,-44.61,31371.54
07/25/2025,STARBUCKS COFFEE,-5.01,31366.53
07/16/2025,CONSULTING FEE - BETA LLC,5454.25,36820.78
07/27/2025,ELECTRIC COMPANY,-174.21,36646.57
07/19/2025,SHELL GAS STATION,-44.38,36602.19
07/27/2025,CLIENT PAYMENT - STARTUP INC,2077.76,38679.95
07/16/2025,TARGET,-92.17,38587.78
07/28/2025,CHIPOTLE,-8.57,38579.21
07/25/2025,CHIPOTLE,-10.30,38568.91
07/13/2025,AMAZON PURCHASE,-88.67,38480.24
07/17/2025,BEST BUY,-239.33,38240.91
07/11/2025,CLIENT PAYMENT - TECHFIRM,4147.98,42388.89
07/01/2025,CLIENT PAYMENT - ACME CORP,2530.24,44919.13
07/02/2025,SHELL GAS STATION,-52.00,44867.13
07/09/2025,CHIPOTLE,-11.69,44855.44
07/24/2025,HOME DEPOT,-156.26,44699.18
07/16/2025,CHIPOTLE,-15.25,44683.93
07/22/2025,GAS STATION,-53.56,44630.37
07/28/2025,NETFLIX,-15.99,44614.38
07/02/2025,COURSERA,-43.99,44570.39
07/04/2025,GOOGLE WORKSPACE,-11.56,44558.83
07/05/2025,HOME DEPOT,-116.73,44442.10
07/28/2025,MCDONALDS,-6.34,44435.76
07/28/2025,WHOLE FOODS MARKET,-71.74,44364.02
07/18/2025,SHELL GAS STATION,-37.58,44326.44
07/28/2025,STAPLES,-35.72,44290.72
07/07/2025,WHOLE FOODS MARKET,-130.24,44160.48
07/01/2025,WATER UTILITY,-41.84,44118.64
07/26/2025,GAS STATION,-42.14,44076.50
07/24/2025,PARKING METER,-4.03,44072.47
07/16/2025,WALGREENS PHARMACY,-48.68,44023.79
07/02/2025,PARKING METER,-7.63,44016.16
07/11/2025,RETAINER - GLOBALTECH,3762.83,47778.99
07/28/2025,WHOLE FOODS MARKET,-34.71,47744.28
07/03/2025,SHELL GAS STATION,-49.17,47695.11
07/22/2025,KROGER,-89.81,47605.30
07/19/2025,SQUARESPACE WEBSITE,-32.32,47572.98
07/03/2025,BOOK DEPOSITORY,-30.22,47542.76
07/11/2025,CHIPOTLE,-10.64,47532.12
07/11/2025,STAPLES,-53.46,47478.66
07/21/2025,WEWORK COWORKING,-214.20,47264.46
07/03/2025,CLIENT PAYMENT - WIDGET CO,1829.67,49094.13
07/07/2025,SPOTIFY,-10.99,49083.14
07/12/2025,ELECTRIC COMPANY,-143.05,48940.09
