date,description,amount,balance
10/16/2025,SALVATION ARMY,-14.74,14450.73
10/13/2025,HOME DEPOT,-43.47,14407.26
10/23/2025,STAPLES,-48.32,14358.94
10/25/2025,COURSERA,-45.11,14313.83
10/23/2025,KROGER,-67.18,14246.65
10/22/2025,SPOTIFY,-10.99,14235.66
10/16/2025,SPOTIFY,-10.99,14224.67
10/17/2025,COMCAST CABLE,-112.61,14112.06
10/28/2025,NETFLIX,-15.99,14096.07
10/17/2025,STARBUCKS COFFEE,-4.39,14091.68
10/14/2025,SPOTIFY,-10.99,14080.69
10/03/2025,HOME DEPOT,-139.06,13941.63
10/23/2025,UDEMY ONLINE COURSE,-23.34,13918.29
10/28/2025,PARKING METER,-5.72,13912.57
10/11/2025,HOME DEPOT,-42.97,13869.60
10/02/2025,ELECTRIC COMPANY,-116.88,13752.72
10/10/2025,SHELL GAS STATION,-54.81,13697.91
10/04/2025,NETFLIX,-15.99,13681.92
10/15/2025,WALGREENS PHARMACY,-13.02,13668.90
10/02/2025,RED CROSS DONATION,-78.00,13590.90
10/12/2025,BEST BUY,-156.59,13434.31
10/19/2025,TARGET,-102.15,13332.16
10/03/2025,KROGER,-47.32,13284.84
10/08/2025,SPOTIFY,-10.99,13273.85
10/08/2025,HOME DEPOT,-117.28,13156.57
10/22/2025,RETAINER - GLOBALTECH,5555.44,18712.01
10/22/2025,SHELL GAS STATION,-54.54,18657.47
10/12/2025,ATT WIRELESS,-85.00,18572.47
10/14/2025,MCDONALDS,-6.08,18566.39
10/07/2025,HOME DEPOT,-180.80,18385.59
10/13/2025,ATT WIRELESS,-85.00,18300.59
10/10/2025,CLIENT PAYMENT - DESIGN STUDIO,2735.16,21035.75
10/19/2025,WHOLE FOODS MARKET,-40.73,20995.02
10/24/2025,ATT WIRELESS,-85.00,20910.02
10/08/2025,AMAZON PURCHASE,-119.34,20790.68
10/07/2025,SPOTIFY,-10.99,20779.69
10/21/2025,CLIENT PAYMENT - ACME CORP,2890.20,23669.89
10/15/2025,CONSULTING FEE - BETA LLC,4795.62,28465.51
10/03/2025,COMCAST CABLE,-115.05,28350.46
10/06/2025,FEDEX OFFICE,-19.32,28331.14
10/12/2025,WATER UTILITY,-44.24,28286.90
10/09/2025,HOME DEPOT,-25.87,28261.03
10/10/2025,COMCAST CABLE,-113.92,28147.11
10/15/2025,SPOTIFY,-10.99,28136.12
10/25/2025,KROGER,-17.78,28118.34
10/26/2025,SHELL GAS STATION,-42.33,28076.01
10/01/2025,GITHUB INC,-13.27,28062.74
10/22/2025,WATER UTILITY,-50.39,28012.35
10/27/2025,AMAZON PURCHASE,-134.83,27877.52
10/08/2025,HOME DEPOT,-35.25,27842.27
10/08/2025,MCDONALDS,-5.63,27836.64
10/10/2025,NETFLIX,-15.99,27820.65
10/05/2025,CLIENT PAYMENT - ACME CORP,2869.64,30690.29
10/16/2025,CVS PHARMACY,-17.89,30672.40
10/05/2025,COURSERA,-46.59,30625.81
10/24/2025,PARKING METER,-5.49,30620.32
10/24/2025,UBER EATS,-23.39,30596.93
10/27/2025,UBER EATS,-14.01,30582.92
10/09/2025,CONSULTING FEE - BETA LLC,2477.71,33060.63
10/15/2025,AMAZON PURCHASE,-136.09,32924.54
10/22/2025,LOCAL FOOD BANK,-47.88,32876.66
10/09/2025,GITHUB INC,-4.87,32871.79
10/27/2025,BEST BUY,-126.74,32745.05
10/20/2025,WHOLE FOODS MARKET,-55.58,32689.47
10/08/2025,CHIPOTLE,-15.45,32674.02
10/25/2025,CHIPOTLE,-9.50,32664.52
10/08/2025,UNITED WAY,-26.34,32638.18
10/20/2025,CLIENT PAYMENT - STARTUP INC,5943.87,38582.05
10/18/2025,ADOBE SYSTEMS,-51.15,38530.90
10/28/2025,CLIENT PAYMENT - ACME CORP,3112.09,41642.99
10/26/2025,WEWORK COWORKING,-396.84,41246.15
10/09/2025,CLIENT PAYMENT - DESIGN STUDIO,3867.38,45113.53
10/24/2025,RETAINER - GLOBALTECH,5001.08,50114.61
10/17/2025,MCDONALDS,-8.47,50106.14
10/20/2025,FREELANCE INVOICE - PROJECT ALPHA,3561.19,53667.33
10/01/2025,RETAINER - GLOBALTECH,5312.84,58980.17
10/14/2025,HOME DEPOT,-71.77,58908.40
10/15/2025,CLIENT PAYMENT - WIDGET CO,2949.50,61857.90
10/05/2025,FREELANCE INVOICE - PROJECT ALPHA,4309.43,66167.33
10/19/2025,COMCAST CABLE,-122.38,66044.95
