date,description,amount,balance
09/06/2025,NETFLIX,-15.99,17761.93
09/19/2025,FREELANCE INVOICE - PROJECT ALPHA,4091.09,21853.02
09/13/2025,OREILLY MEDIA,-49.24,21803.78
09/23/2025,ELECTRIC COMPANY,-169.81,21633.97
09/25/2025,NAMECHEAP DOMAIN,-12.00,21621.97
09/04/2025,WHOLE FOODS MARKET,-108.34,21513.63
09/14/2025,SHELL GAS STATION,-52.29,21461.34
09/11/2025,CLIENT PAYMENT - DESIGN STUDIO,5200.49,26661.83
09/04/2025,HOME DEPOT,-85.59,26576.24
09/27/2025,BEST BUY,-182.42,26393.82
09/24/2025,WATER UTILITY,-49.60,26344.22
09/18/2025,MCDONALDS,-8.95,26335.27
09/24/2025,COMCAST CABLE,-112.97,26222.30
09/27/2025,WATER UTILITY,-42.96,26179.34
09/08/2025,KROGER,-71.41,26107.93
09/16/2025,TARGET,-68.81,26039.12
09/12/2025,COMCAST CABLE,-124.41,25914.71
09/20/2025,WATER UTILITY,-51.11,25863.60
09/17/2025,SHELL GAS STATION,-61.55,25802.05
09/14/2025,ELECTRIC COMPANY,-110.94,25691.11
09/21/2025,MCDONALDS,-6.45,25684.66
09/03/2025,STAPLES,-25.41,25659.25
09/10/2025,AMAZON PURCHASE,-83.74,25575.51
09/17/2025,SALVATION ARMY,-23.38,25552.13
09/23/2025,HOME DEPOT,-154.75,25397.38
09/04/2025,COMCAST CABLE,-127.61,25269.77
09/18/2025,TARGET,-99.89,25169.88
09/24/2025,COSTCO,-130.64,25039.24
09/04/2025,ATT WIRELESS,-85.00,24954.24
09/06/2025,FEDEX OFFICE,-45.57,24908.67
09/02/2025,PARKING METER,-6.25,24902.42
09/05/2025,HOME DEPOT,-181.53,24720.89
09/01/2025,HOME DEPOT,-113.83,24607.06
09/11/2025,ZOOM VIDEO COMMUNICATIONS,-18.23,24588.83
09/28/2025,AMAZON PURCHASE,-125.87,24462.96
09/03/2025,WHOLE FOODS MARKET,-131.79,24331.17
09/26/2025,ATT WIRELESS,-85.00,24246.17
09/08/2025,VISION CENTER,-177.17,24069.00
09/20/2025,ELECTRIC COMPANY,-102.43,23966.57
09/13/2025,GAS STATION,-58.11,23908.46
09/19/2025,ATT WIRELESS,-85.00,23823.46
09/02/2025,NETFLIX,-15.99,23807.47
09/25/2025,GOOGLE WORKSPACE,-14.82,23792.65
09/03/2025,CVS PHARMACY,-41.36,23751.29
09/06/2025,RETAINER - GLOBALTECH,4602.17,28353.46
09/16/2025,GOOGLE WORKSPACE,-14.54,28338.92
09/10/2025,MCDONALDS,-11.50,28327.42
09/08/2025,CHIPOTLE,-12.60,28314.82
09/18/2025,ADOBE SYSTEMS,-23.21,28291.61
09/27/2025,DR SMITH FAMILY MEDICINE,-220.96,28070.65
09/10/2025,ATT WIRELESS,-85.00,27985.65
09/15/2025,KROGER,-19.87,27965.78
09/17/2025,MCDONALDS,-11.44,27954.34
09/02/2025,COMCAST CABLE,-117.93,27836.41
09/01/2025,CLIENT PAYMENT - ACME CORP,5998.08,33834.49
09/22/2025,WHOLE FOODS MARKET,-58.43,33776.06
09/06/2025,GAS STATION,-33.36,33742.70
09/06/2025,UBER EATS,-24.05,33718.65
09/16/2025,HOME DEPOT,-137.37,33581.28
09/11/2025,RED CROSS DONATION,-35.67,33545.61
09/11/2025,CONFERENCE REGISTRATION,-627.07,32918.54
09/13/2025,PARKING METER,-7.78,32910.76
09/03/2025,WEWORK COWORKING,-376.82,32533.94
09/25/2025,BOOK DEPOSITORY,-21.13,32512.81
09/01/2025,PARKING METER,-5.23,32507.58
09/02/2025,WEWORK COWORKING,-275.47,32232.11
09/16/2025,WHOLE FOODS MARKET,-125.57,32106.54
09/18/2025,WALGREENS PHARMACY,-37.22,32069.32
09/23/2025,STARBUCKS COFFEE,-3.13,32066.19
09/20/2025,TARGET,-87.37,31978.82
09/01/2025,SHELL GAS STATION,-62.14,31916.68
09/27/2025,MCDONALDS,-5.37,31911.31
09/21/2025,HOME DEPOT,-32.12,31879.19
09/10/2025,WATER UTILITY,-54.61,31824.58
09/16/2025,ELECTRIC COMPANY,-134.32,31690.26
09/05/2025,BOOK DEPOSITORY,-32.21,31658.05
09/05/2025,WATER UTILITY,-45.68,31612.37
09/28/2025,BOOK DEPOSITORY,-40.65,31571.72
09/01/2025,AWS AMAZON,-21.38,31550.34
09/19/2025,HOME DEPOT,-44.25,31506.09
