date,merchant,amount
01/01/2025,NETFLIX,-15.99
01/01/2025,SPOTIFY PREMIUM,-10.99
01/01/2025,HULU STREAMING,-12.99
01/01/2025,GOOGLE CLOUD STORAGE,-2.99
01/01/2025,GITHUB COPILOT,-10.00
01/01/2025,NORDVPN,-3.99
01/01/2025,NEW YORK TIMES DIGITAL,-4.25
01/01/2025,HOME DEPOT,-109.04
01/02/2025,AWS AMAZON WEB SERVICES,-75.18
01/02/2025,PLANET FITNESS,-49.99
01/02/2025,ADOBE CREATIVE CLOUD,-54.99
01/02/2025,WHOLE FOODS MARKET,-122.51
01/03/2025,KROGER,-65.90
01/03/2025,CHIPOTLE MEXICAN GRILL,-11.92
01/04/2025,MICROSOFT 365,-9.99
01/04/2025,TARGET,-110.26
01/04/2025,STARBUCKS COFFEE,-4.60
01/04/2025,UBER EATS,-28.25
01/04/2025,KROGER,-58.47
01/05/2025,GOOGLE ONE STORAGE,-2.99
01/05/2025,ICLOUD STORAGE,-0.99
01/05/2025,COMCAST CABLE,-123.19
01/05/2025,ELECTRIC COMPANY,-165.71
01/05/2025,WHOLE FOODS MARKET,-46.67
01/05/2025,WALMART,-51.28
01/06/2025,STARBUCKS COFFEE,-4.21
01/06/2025,TARGET,-89.18
01/08/2025,SHELL GAS STATION,-68.40
01/08/2025,BEST BUY,-192.16
01/11/2025,CVS PHARMACY,-6.50
01/11/2025,PANERA BREAD,-14.24
01/11/2025,AMAZON MARKETPLACE,-53.97
01/12/2025,MCDONALDS,-10.86
01/13/2025,ELECTRIC COMPANY,-126.38
01/13/2025,HOME DEPOT,-44.03
01/13/2025,HOME DEPOT,-170.59
01/13/2025,COMCAST CABLE,-118.07
01/14/2025,AMAZON MARKETPLACE,-58.07
01/15/2025,PANERA BREAD,-12.64
01/15/2025,ATT WIRELESS,-85.00
01/16/2025,KROGER,-81.93
01/18/2025,HOME DEPOT,-65.90
01/18/2025,WALMART,-79.89
01/18/2025,MCDONALDS,-6.66
01/19/2025,CVS PHARMACY,-8.04
01/20/2025,MCDONALDS,-6.07
01/20/2025,ZELLE PAYMENT,341.62
01/20/2025,WALMART,-26.52
01/21/2025,PANERA BREAD,-14.41
01/21/2025,AMAZON MARKETPLACE,-11.99
01/21/2025,ATT WIRELESS,-85.00
01/21/2025,DIRECT DEPOSIT,3395.33
01/22/2025,DIRECT DEPOSIT,2979.95
01/23/2025,MCDONALDS,-7.96
01/23/2025,CVS PHARMACY,-16.54
01/24/2025,AMAZON MARKETPLACE,-46.65
01/24/2025,DIRECT DEPOSIT,3013.42
01/24/2025,ELECTRIC COMPANY,-179.68
01/25/2025,ZELLE PAYMENT,448.15
01/25/2025,AMAZON MARKETPLACE,-15.34
01/27/2025,SHELL GAS STATION,-50.68
01/27/2025,AMAZON MARKETPLACE,-113.85
01/27/2025,MCDONALDS,-5.85
01/28/2025,BEST BUY,-224.89
01/28/2025,DIRECT DEPOSIT,4355.56
01/28/2025,COSTCO WHOLESALE,-52.96
02/01/2025,PLANET FITNESS,-49.99
02/01/2025,ADOBE CREATIVE CLOUD,-54.99
02/01/2025,GOOGLE ONE STORAGE,-2.99
02/01/2025,HOME DEPOT,-188.48
02/01/2025,WHOLE FOODS MARKET,-130.24
02/02/2025,SPOTIFY PREMIUM,-10.99
02/02/2025,ICLOUD STORAGE,-0.99
02/02/2025,MICROSOFT 365,-9.99
02/02/2025,NEW YORK TIMES DIGITAL,-4.25
02/02/2025,WHOLE FOODS MARKET,-60.24
02/02/2025,HOME DEPOT,-95.79
02/03/2025,NETFLIX,-15.99
02/03/2025,DIRECT DEPOSIT,2676.62
02/03/2025,WHOLE FOODS MARKET,-46.84
02/03/2025,PANERA BREAD,-9.31
02/03/2025,SHELL GAS STATION,-40.20
02/03/2025,BEST BUY,-31.05
02/03/2025,CHIPOTLE MEXICAN GRILL,-8.53
02/04/2025,HULU STREAMING,-12.99
02/04/2025,GITHUB COPILOT,-10.00
02/04/2025,KROGER,-31.95
02/05/2025,AWS AMAZON WEB SERVICES,-49.20
02/05/2025,GOOGLE CLOUD STORAGE,-2.99
02/05/2025,NORDVPN,-3.99
02/05/2025,WATER UTILITY,-59.64
02/06/2025,ELECTRIC COMPANY,-165.98
02/06/2025,HOME DEPOT,-133.49
02/07/2025,WATER UTILITY,-44.81
02/07/2025,CHIPOTLE MEXICAN GRILL,-14.48
02/08/2025,WALMART,-63.88
02/08/2025,BEST BUY,-144.42
02/09/2025,PANERA BREAD,-14.29
02/10/2025,CHIPOTLE MEXICAN GRILL,-10.63
02/11/2025,BEST BUY,-147.39
02/13/2025,CVS PHARMACY,-15.05
02/13/2025,WATER UTILITY,-59.66
02/13/2025,KROGER,-79.71
02/14/2025,WALMART,-30.21
02/14/2025,TARGET,-109.82
02/15/2025,ZELLE PAYMENT,342.45
02/15/2025,MCDONALDS,-9.03
02/16/2025,HOME DEPOT,-170.06
02/16/2025,PANERA BREAD,-10.71
02/17/2025,WHOLE FOODS MARKET,-79.90
02/17/2025,WALMART,-87.41
02/18/2025,HOME DEPOT,-165.51
02/18/2025,WHOLE FOODS MARKET,-80.50
02/19/2025,BEST BUY,-150.44
02/19/2025,HOME DEPOT,-127.32
02/20/2025,SHELL GAS STATION,-69.67
02/21/2025,WHOLE FOODS MARKET,-69.20
02/21/2025,PANERA BREAD,-15.22
02/22/2025,WALMART,-80.96
02/22/2025,NORDSTROM,-186.06
02/22/2025,DIRECT DEPOSIT,4086.82
02/23/2025,HOME DEPOT,-198.71
02/23/2025,ELECTRIC COMPANY,-151.48
02/23/2025,AMAZON MARKETPLACE,-161.19
02/23/2025,ELECTRIC COMPANY,-96.63
02/24/2025,TARGET,-113.64
02/25/2025,CVS PHARMACY,-7.49
02/25/2025,ELECTRIC COMPANY,-148.38
02/26/2025,ATT WIRELESS,-85.00
02/26/2025,COSTCO WHOLESALE,-127.66
02/28/2025,AMAZON MARKETPLACE,-112.10
02/28/2025,SHELL GAS STATION,-54.49
02/28/2025,NORDSTROM,-188.45
03/01/2025,AWS AMAZON WEB SERVICES,-82.41
03/01/2025,HULU STREAMING,-12.99
03/01/2025,GOOGLE ONE STORAGE,-2.99
03/01/2025,UBER EATS,-15.91
03/01/2025,ATT WIRELESS,-85.00
03/02/2025,PLANET FITNESS,-49.99
03/02/2025,ICLOUD STORAGE,-0.99
03/02/2025,GITHUB COPILOT,-10.00
03/02/2025,NEW YORK TIMES DIGITAL,-4.25
03/02/2025,TARGET,-79.83
03/02/2025,CVS PHARMACY,-34.84
03/03/2025,SPOTIFY PREMIUM,-10.99
03/03/2025,ADOBE CREATIVE CLOUD,-54.99
03/03/2025,MICROSOFT 365,-9.99
03/03/2025,CHATGPT PLUS,-20.00
03/03/2025,NORDVPN,-3.99
03/04/2025,COMCAST CABLE,-118.78
03/04/2025,ZELLE PAYMENT,162.29
03/04/2025,KROGER,-20.16
03/05/2025,NETFLIX,-15.99
03/05/2025,GOOGLE CLOUD STORAGE,-2.99
03/05/2025,AMAZON PRIME,-139.00
03/05/2025,MCDONALDS,-7.92
03/07/2025,WHOLE FOODS MARKET,-42.13
03/08/2025,CHIPOTLE MEXICAN GRILL,-8.59
03/08/2025,HOME DEPOT,-78.90
03/09/2025,CHIPOTLE MEXICAN GRILL,-10.90
03/09/2025,CVS PHARMACY,-26.05
03/09/2025,SHELL GAS STATION,-36.16
03/09/2025,AMAZON MARKETPLACE,-166.07
03/10/2025,COMCAST CABLE,-127.45
03/10/2025,TARGET,-44.43
03/10/2025,KROGER,-65.80
03/10/2025,UBER EATS,-24.69
03/10/2025,UBER EATS,-23.26
03/11/2025,AMAZON MARKETPLACE,-191.62
03/11/2025,UBER EATS,-20.69
03/11/2025,MCDONALDS,-6.90
03/11/2025,SHELL GAS STATION,-36.79
03/11/2025,BEST BUY,-136.20
03/13/2025,MCDONALDS,-7.51
03/14/2025,WHOLE FOODS MARKET,-138.92
03/14/2025,WHOLE FOODS MARKET,-136.99
03/14/2025,ZELLE PAYMENT,138.67
03/14/2025,WALMART,-75.26
03/14/2025,PANERA BREAD,-14.98
03/14/2025,COSTCO WHOLESALE,-192.62
03/17/2025,DIRECT DEPOSIT,5058.74
03/17/2025,COMCAST CABLE,-117.88
03/18/2025,UBER EATS,-20.54
03/18/2025,ZELLE PAYMENT,491.52
03/19/2025,TARGET,-79.55
03/20/2025,WALMART,-46.89
03/20/2025,HOME DEPOT,-22.89
03/21/2025,SHELL GAS STATION,-54.06
03/22/2025,HOME DEPOT,-159.87
03/22/2025,ZELLE PAYMENT,473.16
03/22/2025,ELECTRIC COMPANY,-135.82
03/23/2025,SHELL GAS STATION,-36.92
03/23/2025,CVS PHARMACY,-31.08
03/24/2025,COMCAST CABLE,-110.52
03/24/2025,PANERA BREAD,-10.51
03/25/2025,KROGER,-92.06
03/26/2025,MCDONALDS,-5.71
03/26/2025,UBER EATS,-12.79
03/26/2025,HOME DEPOT,-151.97
03/26/2025,COMCAST CABLE,-129.97
03/26/2025,CVS PHARMACY,-22.11
03/27/2025,CHIPOTLE MEXICAN GRILL,-11.64
03/27/2025,WATER UTILITY,-59.44
03/27/2025,ELECTRIC COMPANY,-145.03
03/28/2025,WATER UTILITY,-58.72
03/28/2025,MCDONALDS,-6.54
03/28/2025,COMCAST CABLE,-113.96
03/28/2025,NORDSTROM,-146.63
04/01/2025,GOOGLE CLOUD STORAGE,-2.99
04/01/2025,ICLOUD STORAGE,-0.99
04/01/2025,BEST BUY,-44.56
04/01/2025,BEST BUY,-197.30
04/01/2025,BEST BUY,-147.61
04/01/2025,DIRECT DEPOSIT,2620.77
04/01/2025,HOME DEPOT,-164.12
04/01/2025,COSTCO WHOLESALE,-228.38
04/02/2025,SPOTIFY PREMIUM,-10.99
04/02/2025,HULU STREAMING,-12.99
04/02/2025,GOOGLE ONE STORAGE,-2.99
04/02/2025,CHATGPT PLUS,-20.00
04/02/2025,GITHUB COPILOT,-10.00
04/03/2025,KROGER,-24.09
04/03/2025,CHIPOTLE MEXICAN GRILL,-10.35
04/03/2025,COMCAST CABLE,-124.95
04/04/2025,AWS AMAZON WEB SERVICES,-74.30
04/04/2025,PLANET FITNESS,-49.99
04/04/2025,ADOBE CREATIVE CLOUD,-54.99
04/04/2025,MICROSOFT 365,-9.99
04/04/2025,NEW YORK TIMES DIGITAL,-4.25
04/05/2025,NETFLIX,-15.99
04/05/2025,NORDVPN,-3.99
04/05/2025,UBER EATS,-17.26
04/05/2025,SHELL GAS STATION,-47.50
04/05/2025,NORDSTROM,-174.10
04/06/2025,TARGET,-38.33
04/07/2025,ELECTRIC COMPANY,-138.42
04/07/2025,ATT WIRELESS,-85.00
04/08/2025,WALMART,-61.23
04/08/2025,PANERA BREAD,-9.60
04/09/2025,HOME DEPOT,-48.82
04/09/2025,ELECTRIC COMPANY,-161.83
04/09/2025,CVS PHARMACY,-23.72
04/11/2025,COSTCO WHOLESALE,-203.10
04/11/2025,WATER UTILITY,-64.27
04/12/2025,WHOLE FOODS MARKET,-30.01
04/13/2025,CHIPOTLE MEXICAN GRILL,-14.79
04/13/2025,MCDONALDS,-9.91
04/13/2025,ZELLE PAYMENT,355.61
04/13/2025,NORDSTROM,-109.20
04/13/2025,KROGER,-71.31
04/13/2025,COSTCO WHOLESALE,-134.84
04/14/2025,WATER UTILITY,-59.51
04/15/2025,ATT WIRELESS,-85.00
04/18/2025,ELECTRIC COMPANY,-113.24
04/18/2025,WALMART,-65.86
04/18/2025,COMCAST CABLE,-121.85
04/18/2025,WATER UTILITY,-64.52
04/19/2025,WATER UTILITY,-48.26
04/20/2025,MCDONALDS,-10.83
04/23/2025,AMAZON MARKETPLACE,-116.42
04/23/2025,DIRECT DEPOSIT,3228.55
04/24/2025,ELECTRIC COMPANY,-118.73
04/24/2025,ELECTRIC COMPANY,-90.28
04/24/2025,COMCAST CABLE,-119.24
04/25/2025,NORDSTROM,-146.06
04/25/2025,WATER UTILITY,-53.75
04/25/2025,COMCAST CABLE,-122.21
04/25/2025,HOME DEPOT,-82.97
04/26/2025,TARGET,-72.07
04/27/2025,AMAZON MARKETPLACE,-57.12
04/27/2025,SHELL GAS STATION,-49.28
04/28/2025,PANERA BREAD,-14.01
05/01/2025,PLANET FITNESS,-49.99
05/01/2025,ICLOUD STORAGE,-0.99
05/01/2025,GITHUB COPILOT,-10.00
05/01/2025,WATER UTILITY,-53.80
05/01/2025,WATER UTILITY,-62.44
05/02/2025,PANERA BREAD,-14.99
05/02/2025,ELECTRIC COMPANY,-145.93
05/02/2025,COSTCO WHOLESALE,-136.27
05/03/2025,NETFLIX,-15.99
05/03/2025,ADOBE CREATIVE CLOUD,-54.99
05/03/2025,GOOGLE CLOUD STORAGE,-2.99
05/03/2025,CHATGPT PLUS,-20.00
05/03/2025,HOME DEPOT,-50.47
05/03/2025,BEST BUY,-43.74
05/04/2025,GOOGLE ONE STORAGE,-2.99
05/04/2025,NORDVPN,-3.99
05/04/2025,NEW YORK TIMES DIGITAL,-4.25
05/04/2025,WALMART,-52.26
05/04/2025,NORDSTROM,-36.78
05/05/2025,SPOTIFY PREMIUM,-10.99
05/05/2025,AWS AMAZON WEB SERVICES,-77.61
05/05/2025,HULU STREAMING,-12.99
05/05/2025,MICROSOFT 365,-9.99
05/05/2025,ZELLE PAYMENT,74.12
05/07/2025,KROGER,-84.54
05/07/2025,HOME DEPOT,-178.28
05/08/2025,AMAZON MARKETPLACE,-32.49
05/08/2025,ZELLE PAYMENT,86.53
05/09/2025,ELECTRIC COMPANY,-152.91
05/09/2025,CVS PHARMACY,-18.11
05/11/2025,MCDONALDS,-6.42
05/12/2025,CVS PHARMACY,-29.63
05/13/2025,SHELL GAS STATION,-59.70
05/13/2025,TARGET,-33.68
05/14/2025,ELECTRIC COMPANY,-109.27
05/14/2025,COSTCO WHOLESALE,-77.97
05/15/2025,ATT WIRELESS,-85.00
05/16/2025,ATT WIRELESS,-85.00
05/16/2025,BEST BUY,-223.23
05/16/2025,AMAZON MARKETPLACE,-21.20
05/17/2025,AMAZON MARKETPLACE,-94.40
05/17/2025,MCDONALDS,-8.69
05/17/2025,NORDSTROM,-161.63
05/18/2025,AMAZON MARKETPLACE,-82.98
05/18/2025,KROGER,-89.84
05/19/2025,HOME DEPOT,-144.88
05/19/2025,WATER UTILITY,-58.09
05/21/2025,COMCAST CABLE,-110.78
05/21/2025,UBER EATS,-20.78
05/21/2025,HOME DEPOT,-75.69
05/21/2025,WATER UTILITY,-63.15
05/22/2025,ELECTRIC COMPANY,-123.02
05/23/2025,AMAZON MARKETPLACE,-32.74
05/23/2025,PANERA BREAD,-13.35
05/23/2025,UBER EATS,-35.03
05/23/2025,WHOLE FOODS MARKET,-83.60
05/24/2025,CVS PHARMACY,-37.00
05/24/2025,MCDONALDS,-9.02
05/24/2025,UBER EATS,-38.68
05/25/2025,COMCAST CABLE,-120.23
05/25/2025,CHIPOTLE MEXICAN GRILL,-10.90
05/25/2025,HOME DEPOT,-178.68
05/26/2025,COMCAST CABLE,-117.87
05/27/2025,WATER UTILITY,-53.38
05/28/2025,BEST BUY,-227.53
06/01/2025,AWS AMAZON WEB SERVICES,-49.85
06/01/2025,MICROSOFT 365,-9.99
06/01/2025,NEW YORK TIMES DIGITAL,-4.25
06/01/2025,KROGER,-48.68
06/01/2025,BEST BUY,-141.48
06/01/2025,UBER EATS,-34.75
06/01/2025,WALMART,-78.63
06/02/2025,NETFLIX,-15.99
06/02/2025,CHATGPT PLUS,-20.00
06/03/2025,ICLOUD STORAGE,-0.99
06/03/2025,DOMAIN RENEWAL - NAMECHEAP,-12.00
06/03/2025,GITHUB COPILOT,-10.00
06/03/2025,PANERA BREAD,-12.05
06/03/2025,PANERA BREAD,-15.71
06/04/2025,PLANET FITNESS,-49.99
06/04/2025,ADOBE CREATIVE CLOUD,-54.99
06/04/2025,GOOGLE CLOUD STORAGE,-2.99
06/04/2025,NORDVPN,-3.99
06/04/2025,KROGER,-72.71
06/04/2025,KROGER,-78.55
06/04/2025,TARGET,-71.55
06/05/2025,SPOTIFY PREMIUM,-10.99
06/05/2025,GOOGLE ONE STORAGE,-2.99
06/05/2025,HOME DEPOT,-117.78
06/05/2025,WALMART,-40.30
06/06/2025,CHIPOTLE MEXICAN GRILL,-15.43
06/06/2025,WHOLE FOODS MARKET,-58.43
06/07/2025,ELECTRIC COMPANY,-138.68
06/08/2025,PANERA BREAD,-12.74
06/08/2025,CVS PHARMACY,-5.67
06/09/2025,HOME DEPOT,-83.43
06/09/2025,COSTCO WHOLESALE,-148.23
06/10/2025,TARGET,-70.79
06/11/2025,PANERA BREAD,-12.13
06/13/2025,WATER UTILITY,-57.79
06/13/2025,PANERA BREAD,-9.90
06/14/2025,NORDSTROM,-193.22
06/14/2025,SHELL GAS STATION,-53.55
06/15/2025,BEST BUY,-51.28
06/15/2025,WATER UTILITY,-52.03
06/15/2025,CHIPOTLE MEXICAN GRILL,-8.58
06/15/2025,WATER UTILITY,-43.37
06/16/2025,COMCAST CABLE,-117.30
06/16/2025,DIRECT DEPOSIT,4996.43
06/16/2025,COMCAST CABLE,-113.31
06/16/2025,DIRECT DEPOSIT,5442.45
06/17/2025,ATT WIRELESS,-85.00
06/18/2025,CVS PHARMACY,-25.12
06/18/2025,STARBUCKS COFFEE,-4.71
06/18/2025,WHOLE FOODS MARKET,-125.57
06/19/2025,ZELLE PAYMENT,419.64
06/19/2025,AMAZON MARKETPLACE,-165.52
06/19/2025,WHOLE FOODS MARKET,-134.85
06/20/2025,ATT WIRELESS,-85.00
06/21/2025,WATER UTILITY,-61.96
06/22/2025,SHELL GAS STATION,-61.99
06/22/2025,BEST BUY,-143.42
06/22/2025,ATT WIRELESS,-85.00
06/23/2025,UBER EATS,-34.12
06/23/2025,NORDSTROM,-64.12
06/24/2025,COMCAST CABLE,-129.13
06/25/2025,WALMART,-71.06
06/25/2025,WATER UTILITY,-49.36
06/26/2025,HOME DEPOT,-33.70
06/26/2025,DIRECT DEPOSIT,4269.37
06/26/2025,SHELL GAS STATION,-60.33
06/26/2025,COMCAST CABLE,-123.20
06/26/2025,WATER UTILITY,-47.37
06/27/2025,COSTCO WHOLESALE,-130.99
06/27/2025,ATT WIRELESS,-85.00
06/27/2025,COSTCO WHOLESALE,-104.79
06/28/2025,ELECTRIC COMPANY,-86.71
06/28/2025,BEST BUY,-196.60
06/28/2025,KROGER,-26.08
07/01/2025,SPOTIFY PREMIUM,-10.99
07/01/2025,PLANET FITNESS,-49.99
07/01/2025,ICLOUD STORAGE,-0.99
07/01/2025,ZELLE PAYMENT,228.11
07/01/2025,ZELLE PAYMENT,155.22
07/02/2025,ADOBE CREATIVE CLOUD,-54.99
07/02/2025,GOOGLE CLOUD STORAGE,-2.99
07/02/2025,WATER UTILITY,-43.19
07/03/2025,CHATGPT PLUS,-20.00
07/03/2025,GITHUB COPILOT,-10.00
07/03/2025,UBER EATS,-39.39
07/04/2025,NETFLIX,-17.99
07/04/2025,AWS AMAZON WEB SERVICES,-66.99
07/04/2025,GOOGLE ONE STORAGE,-2.99
07/04/2025,MICROSOFT 365,-9.99
07/04/2025,NEW YORK TIMES DIGITAL,-4.25
07/04/2025,SHELL GAS STATION,-54.81
07/04/2025,DIRECT DEPOSIT,4611.67
07/04/2025,DIRECT DEPOSIT,5320.88
07/05/2025,NORDVPN,-3.99
07/05/2025,ZELLE PAYMENT,356.38
07/05/2025,DIRECT DEPOSIT,3724.89
07/06/2025,COSTCO WHOLESALE,-114.48
07/06/2025,KROGER,-36.46
07/08/2025,ZELLE PAYMENT,464.42
07/08/2025,SHELL GAS STATION,-65.07
07/08/2025,KROGER,-22.20
07/08/2025,WATER UTILITY,-62.10
07/09/2025,MCDONALDS,-8.28
07/10/2025,ELECTRIC COMPANY,-163.36
07/10/2025,AMAZON MARKETPLACE,-113.20
07/10/2025,BEST BUY,-203.08
07/10/2025,WATER UTILITY,-44.18
07/10/2025,CHIPOTLE MEXICAN GRILL,-15.28
07/10/2025,WATER UTILITY,-40.82
07/10/2025,ELECTRIC COMPANY,-89.06
07/10/2025,WHOLE FOODS MARKET,-36.45
07/12/2025,WHOLE FOODS MARKET,-114.80
07/12/2025,SHELL GAS STATION,-54.54
07/12/2025,HOME DEPOT,-90.73
07/12/2025,ELECTRIC COMPANY,-176.66
07/13/2025,ZELLE PAYMENT,436.70
07/13/2025,WATER UTILITY,-62.33
07/13/2025,ZELLE PAYMENT,375.90
07/13/2025,ZELLE PAYMENT,167.97
07/14/2025,BEST BUY,-219.23
07/15/2025,STARBUCKS COFFEE,-3.51
07/15/2025,KROGER,-31.64
07/17/2025,COMCAST CABLE,-127.09
07/18/2025,CVS PHARMACY,-35.37
07/18/2025,ATT WIRELESS,-85.00
07/18/2025,NORDSTROM,-49.68
07/19/2025,ZELLE PAYMENT,158.37
07/20/2025,NORDSTROM,-51.96
07/20/2025,HOME DEPOT,-85.41
07/21/2025,NORDSTROM,-188.37
07/21/2025,CHIPOTLE MEXICAN GRILL,-14.14
07/21/2025,DIRECT DEPOSIT,2791.49
07/22/2025,AMAZON MARKETPLACE,-112.68
07/22/2025,TARGET,-72.25
07/24/2025,WHOLE FOODS MARKET,-40.73
07/24/2025,AMAZON MARKETPLACE,-71.22
07/25/2025,KROGER,-46.72
07/25/2025,BEST BUY,-66.43
07/26/2025,STARBUCKS COFFEE,-7.77
07/26/2025,COMCAST CABLE,-118.68
07/26/2025,DIRECT DEPOSIT,2618.27
07/26/2025,PANERA BREAD,-13.07
07/27/2025,COSTCO WHOLESALE,-245.61
07/27/2025,UBER EATS,-36.52
07/27/2025,DIRECT DEPOSIT,2689.65
07/28/2025,SHELL GAS STATION,-40.19
07/28/2025,CVS PHARMACY,-5.02
08/01/2025,MICROSOFT 365,-9.99
08/01/2025,DIRECT DEPOSIT,4418.48
08/01/2025,HOME DEPOT,-94.01
08/02/2025,SPOTIFY PREMIUM,-10.99
08/02/2025,GOOGLE CLOUD STORAGE,-2.99
08/02/2025,DIRECT DEPOSIT,5392.08
08/03/2025,AWS AMAZON WEB SERVICES,-61.77
08/03/2025,NEW YORK TIMES DIGITAL,-4.25
08/03/2025,ELECTRIC COMPANY,-172.65
08/03/2025,KROGER,-48.29
08/03/2025,ZELLE PAYMENT,465.34
08/03/2025,SHELL GAS STATION,-40.89
08/04/2025,ADOBE CREATIVE CLOUD,-54.99
08/04/2025,ICLOUD STORAGE,-0.99
08/04/2025,CHATGPT PLUS,-20.00
08/04/2025,NORDVPN,-3.99
08/04/2025,HOME DEPOT,-46.02
08/04/2025,AMAZON MARKETPLACE,-48.28
08/04/2025,MCDONALDS,-8.41
08/04/2025,ATT WIRELESS,-85.00
08/04/2025,PANERA BREAD,-13.36
08/05/2025,NETFLIX,-17.99
08/05/2025,PLANET FITNESS,-49.99
08/05/2025,GOOGLE ONE STORAGE,-2.99
08/05/2025,GITHUB COPILOT,-10.00
08/05/2025,HOME DEPOT,-140.86
08/05/2025,ZELLE PAYMENT,439.90
08/05/2025,UBER EATS,-36.24
08/05/2025,AMAZON MARKETPLACE,-128.88
08/07/2025,ELECTRIC COMPANY,-170.83
08/07/2025,CHIPOTLE MEXICAN GRILL,-9.70
08/07/2025,PANERA BREAD,-10.23
08/08/2025,WHOLE FOODS MARKET,-55.58
08/08/2025,COMCAST CABLE,-120.97
08/09/2025,MCDONALDS,-11.58
08/11/2025,BEST BUY,-151.94
08/14/2025,WATER UTILITY,-43.82
08/15/2025,MCDONALDS,-10.48
08/15/2025,ZELLE PAYMENT,284.65
08/15/2025,COMCAST CABLE,-123.22
08/17/2025,ATT WIRELESS,-85.00
08/18/2025,SHELL GAS STATION,-40.96
08/18/2025,CHIPOTLE MEXICAN GRILL,-8.10
08/18/2025,MCDONALDS,-6.32
08/18/2025,WHOLE FOODS MARKET,-79.62
08/20/2025,ELECTRIC COMPANY,-129.62
08/20/2025,COSTCO WHOLESALE,-159.26
08/21/2025,ZELLE PAYMENT,215.30
08/21/2025,CHIPOTLE MEXICAN GRILL,-13.80
08/21/2025,TARGET,-30.46
08/22/2025,KROGER,-63.73
08/22/2025,COMCAST CABLE,-122.93
08/23/2025,ZELLE PAYMENT,98.58
08/23/2025,COMCAST CABLE,-128.02
08/24/2025,COMCAST CABLE,-119.48
08/24/2025,COMCAST CABLE,-128.07
08/24/2025,COMCAST CABLE,-112.64
08/25/2025,SHELL GAS STATION,-53.33
08/26/2025,STARBUCKS COFFEE,-6.21
08/27/2025,CVS PHARMACY,-19.48
08/28/2025,CVS PHARMACY,-6.11
08/28/2025,NORDSTROM,-199.52
08/28/2025,WHOLE FOODS MARKET,-62.73
09/01/2025,NETFLIX,-17.99
09/01/2025,PLANET FITNESS,-49.99
09/01/2025,CHATGPT PLUS,-20.00
09/01/2025,CHIPOTLE MEXICAN GRILL,-10.07
09/01/2025,COSTCO WHOLESALE,-226.97
09/02/2025,GOOGLE ONE STORAGE,-2.99
09/02/2025,GOOGLE CLOUD STORAGE,-2.99
09/02/2025,MICROSOFT 365,-9.99
09/02/2025,NORDSTROM,-185.56
09/02/2025,WALMART,-46.63
09/02/2025,ATT WIRELESS,-85.00
09/03/2025,SPOTIFY PREMIUM,-10.99
09/03/2025,AWS AMAZON WEB SERVICES,-69.82
09/03/2025,GITHUB COPILOT,-10.00
09/03/2025,NEW YORK TIMES DIGITAL,-4.25
09/03/2025,BEST BUY,-122.52
09/03/2025,ZELLE PAYMENT,412.79
